datetime,total_load_kw,solar_pv_kw,base_load_kw,sterilization_kw,is_outage,grid_available,generators_kw,site_code,site_name
2022-01-01 00:00:00,3575.8,0.0,2664.7,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 01:00:00,3735.5,0.0,2543.2,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 02:00:00,3707.8,0.0,2504.5,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 03:00:00,3730.8,0.0,2118.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 04:00:00,3947.0,0.0,2825.9,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 05:00:00,4074.6,0.0,2597.7,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 06:00:00,4357.7,0.0,3210.1,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 07:00:00,5453.6,0.0,3082.9,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 08:00:00,5463.0,0.0,3567.3,399.7,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 09:00:00,6089.8,0.0,3889.8,355.9,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 10:00:00,6011.6,0.0,3785.9,349.8,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 11:00:00,5850.1,0.0,3414.2,394.9,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 12:00:00,5995.0,0.0,4336.2,371.7,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 13:00:00,5944.7,0.0,3777.6,416.9,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 14:00:00,5782.2,0.0,3967.8,319.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 15:00:00,6384.3,0.0,4634.7,389.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 16:00:00,5459.4,0.0,3638.0,474.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 17:00:00,6453.0,0.0,4361.2,470.5,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 18:00:00,5984.6,0.0,4345.0,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 19:00:00,5914.4,0.0,4375.5,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 20:00:00,4759.0,0.0,3220.1,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 21:00:00,3965.9,0.0,2377.8,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 22:00:00,3965.7,0.0,2310.7,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-01 23:00:00,3920.1,0.0,2438.9,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 00:00:00,3600.3,0.0,2412.7,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 01:00:00,3891.6,0.0,2200.8,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 02:00:00,3747.1,0.0,2072.7,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 03:00:00,3902.9,0.0,2475.8,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 04:00:00,4168.5,0.0,3071.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 05:00:00,4101.0,0.0,2597.4,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 06:00:00,4334.3,0.0,3243.5,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 07:00:00,4907.9,0.0,3250.4,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 08:00:00,5520.8,0.0,3183.0,397.1,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 09:00:00,5619.7,0.0,3752.2,322.3,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 10:00:00,6073.9,0.0,3522.4,374.3,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 11:00:00,6449.0,0.0,4220.6,452.1,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 12:00:00,6805.1,0.0,3979.3,442.8,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 13:00:00,6391.5,0.0,4734.0,373.3,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 14:00:00,6665.9,0.0,4116.9,453.2,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 15:00:00,6381.7,0.0,4765.4,445.5,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 16:00:00,5902.9,0.0,4172.8,378.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 17:00:00,5857.6,0.0,4194.2,380.7,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 18:00:00,5984.0,0.0,4311.2,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 19:00:00,5748.0,0.0,3831.4,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 20:00:00,5453.9,0.0,3521.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 21:00:00,4071.2,0.0,2409.4,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 22:00:00,4029.8,0.0,2534.6,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-02 23:00:00,3884.6,0.0,2902.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 00:00:00,4155.4,0.0,2893.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 01:00:00,4842.9,0.0,3416.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 02:00:00,4443.4,0.0,2709.6,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 03:00:00,5084.5,0.0,3139.3,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 04:00:00,4730.7,0.0,3334.4,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 05:00:00,4852.2,0.0,2944.6,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 06:00:00,4886.7,0.0,3445.7,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 07:00:00,6589.3,0.0,3929.4,0.0,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 08:00:00,6442.6,0.0,4552.6,363.8,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 09:00:00,7292.2,0.0,5364.8,441.1,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 10:00:00,6330.7,0.0,3515.8,412.7,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 11:00:00,7191.6,0.0,5191.0,336.7,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 12:00:00,7815.3,0.0,5761.6,362.8,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 13:00:00,7561.0,0.0,4356.6,431.6,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 14:00:00,8007.8,0.0,4669.3,429.9,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 15:00:00,7558.8,0.0,4303.1,329.5,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 16:00:00,7964.9,0.0,4547.9,455.1,0,1,0.0,R0A01,Manchester Royal Infirmary
2022-01-03 17:00:00,7542.8,0.0,4767.4,404.8,0,1,0.0,R0A01,Manchester Royal Infirmary
