datetime,total_load_kw,solar_pv_kw,base_load_kw,sterilization_kw,is_outage,grid_available,generators_kw,site_code,site_name
2022-01-01 00:00:00,2764.4,0.0,1857.7,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 01:00:00,3020.6,0.0,2049.1,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 02:00:00,3083.1,0.0,2250.2,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 03:00:00,3131.5,0.0,2111.4,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 04:00:00,2978.8,0.0,2230.5,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 05:00:00,3275.5,0.0,1897.6,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 06:00:00,3023.1,0.0,2165.3,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 07:00:00,4129.9,42.5,2311.1,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 08:00:00,4582.0,219.6,3234.0,299.6,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 09:00:00,4466.1,326.0,3303.8,361.9,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 10:00:00,4278.6,402.0,2584.3,318.9,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 11:00:00,4893.7,151.1,3336.6,281.4,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 12:00:00,5317.8,146.8,3610.9,372.9,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 13:00:00,4639.0,204.7,2819.0,317.8,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 14:00:00,5301.1,214.2,3777.7,272.2,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 15:00:00,4661.8,274.1,2577.9,293.6,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 16:00:00,4758.9,124.5,3563.8,256.7,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 17:00:00,4841.3,104.8,3479.8,279.8,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 18:00:00,4351.8,0.0,2886.3,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 19:00:00,3955.3,0.0,2940.4,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 20:00:00,4067.1,0.0,2963.4,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 21:00:00,3501.0,0.0,2541.3,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 22:00:00,2968.2,0.0,2195.2,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-01 23:00:00,2990.7,0.0,2234.9,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 00:00:00,2969.3,0.0,1929.2,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 01:00:00,3116.7,0.0,2310.4,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 02:00:00,3314.4,0.0,2158.8,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 03:00:00,3326.9,0.0,2314.7,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 04:00:00,3241.4,0.0,2266.6,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 05:00:00,3190.4,0.0,2347.9,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 06:00:00,3534.7,0.0,2397.4,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 07:00:00,4160.6,113.5,2969.6,0.0,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 08:00:00,4469.0,221.7,2767.4,303.1,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 09:00:00,4557.9,212.9,3384.5,331.1,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 10:00:00,4778.1,331.0,3433.0,274.3,0,1,0.0,RQ301,Birmingham Heartlands Hospital
2022-01-02 11:00:00,4927.9,373.0,2823.2,356.9,0,1,0.0,RQ301,Birmingham Heartlands Hospital
